time,open,high,low,close,Volume,Volume MA
1617109200,59112.81,59265.18,59109.16,59141.89,263.90290299999936,234.71194530000025
1617109500,59141.9,59142.05,58937.84,58955.53,352.3154659999994,245.68935925000022
1617109800,58955.53,59058.98,58900,58902.11,319.3232720000009,253.4640578500003
1617110100,58902.1,59050,58835,59010.35,497.02992199999886,269.43416965000023
1617110400,59010.36,59152.1,59001,59081.89,305.36765500000035,277.42686960000026
1617110700,59089.51,59133.41,59060.19,59095.74,190.0199040000002,276.90158615000024
1617111000,59095.74,59111.33,58920.22,58939.98,202.66987700000016,263.4343598500003
1617111300,58939.97,59079,58933.05,59010.14,249.3611439999988,259.8668437000003
1617111600,59010.14,59072.35,58930.87,58981.85,192.17940400000043,250.4279632000004
1617111900,58980.16,58980.17,58883.22,58897.99,183.96710100000053,240.08389660000006
1617112200,58899.99,58983.54,58822.02,58860.01,299.81011099999915,237.1494049499998
1617112500,58860.01,58930.08,58819.19,58890.01,347.9442850000012,246.09072629999977
1617112800,58890.01,58934.39,58751,58794.65,286.50906400000133,251.5889550499998
1617113100,58793.65,58796.97,58665.24,58679.71,284.1024669999991,254.91350224999982
1617113400,58679.7,58804.93,58626.92,58796.3,256.0115509999992,259.3209288499998
1617113700,58796.3,58870.24,58784.66,58789,167.62706200000054,259.05599904999974
1617114000,58789.01,58792.13,58675,58784.27,244.4560200000003,257.25339384999984
1617114300,58784.27,58939.55,58724.74,58894.14,179.11368199999984,257.38358499999987
1617114600,58894.14,58930,58840.13,58878.46,235.3516339999997,260.3920631999998
1617114900,58878.47,58893.73,58807.03,58808.26,196.50041600000074,262.67814699999985
1617115200,58808.47,58968.42,58790.72,58949.87,160.5748629999999,257.5117449999999
1617115500,58949.87,58999.14,58870,58880,232.38311900000133,251.51512764999998
1617115800,58880,58884.74,58835.01,58868.31,138.90275000000042,242.49410154999995
1617116100,58868.31,58880.75,58812.42,58865.9,142.52740999999935,224.76897595
1617116400,58865.9,58948.4,58738.8,58801.03,205.8958809999996,219.79538724999998
